epoch,loss_G,loss_D,loss_G_adv,loss_G_l1,val_loss_G,val_psnr,epoch_time_s,lr_G,lr_D
1,8.3961,0.1459,0.7789,7.6173,7.6645,22.72,558.9,0.000198,0.000198
2,8.1544,0.0905,0.8513,7.3031,8.3259,22.17,558.8,0.000196,0.000196
3,8.4706,0.1593,0.6209,7.8497,7.7734,22.54,559.0,0.000194,0.000194
4,8.3938,0.1519,0.6262,7.7676,7.7265,22.43,558.9,0.000192,0.000192
5,8.4162,0.2012,0.5293,7.8869,6.6993,23.92,558.9,0.000190,0.000190
6,8.1531,0.1686,0.5357,7.6174,8.9647,21.48,559.1,0.000188,0.000188
7,8.2762,0.1890,0.4976,7.7786,8.8224,21.41,558.8,0.000186,0.000186
8,8.1959,0.1922,0.4828,7.7131,9.3778,21.04,559.2,0.000184,0.000184
9,8.0907,0.1937,0.4872,7.6036,7.6374,22.47,558.9,0.000182,0.000182
10,7.9894,0.1889,0.4695,7.5200,8.2418,21.84,559.2,0.000180,0.000180
11,7.8812,0.1907,0.4750,7.4062,8.6726,21.38,559.3,0.000178,0.000178
12,7.7131,0.1930,0.4699,7.2433,8.4314,21.70,559.1,0.000176,0.000176
13,7.5892,0.1919,0.4662,7.1230,7.6022,22.45,559.0,0.000174,0.000174
14,7.4465,0.1902,0.4681,6.9785,7.8726,22.38,559.3,0.000172,0.000172
15,7.2286,0.2023,0.4745,6.7540,7.7498,22.41,558.9,0.000170,0.000170
16,7.1416,0.1872,0.4478,6.6938,8.2629,21.53,559.3,0.000168,0.000168
17,6.8903,0.2059,0.4625,6.4278,7.4105,22.71,558.6,0.000166,0.000166
18,6.8812,0.1897,0.4395,6.4417,7.8119,22.33,559.0,0.000164,0.000164
19,6.6912,0.2052,0.4528,6.2384,7.5729,22.64,558.4,0.000162,0.000162
20,6.6608,0.1890,0.4471,6.2137,7.4273,22.71,558.6,0.000160,0.000160
21,6.5012,0.2019,0.4581,6.0430,7.4899,22.62,558.6,0.000158,0.000158
22,6.4558,0.1869,0.4487,6.0071,7.6626,22.35,558.7,0.000156,0.000156
23,6.3608,0.1880,0.4624,5.8985,7.5848,22.45,559.0,0.000154,0.000154
24,6.2487,0.1978,0.4732,5.7755,7.5003,22.57,558.9,0.000152,0.000152
25,6.1636,0.1829,0.4508,5.7128,7.4613,22.73,558.5,0.000150,0.000150
26,5.9674,0.2154,0.4704,5.4971,7.6319,22.36,558.8,0.000148,0.000148
27,5.9633,0.1856,0.4364,5.5269,7.5286,22.53,558.8,0.000146,0.000146
28,5.9493,0.1822,0.4691,5.4802,7.5507,22.47,558.6,0.000144,0.000144
